Date,Month,Year,Itinerant,Local,Total Operations
1/1/2021,1,2021,3824,1810,5634
2/1/2021,2,2021,3479,1375,4854
3/1/2021,3,2021,5379,1649,7028
4/1/2021,4,2021,5487,2027,7514
5/1/2021,5,2021,6529,2860,9389
6/1/2021,6,2021,6698,2708,9406
7/1/2021,7,2021,7449,3100,10549
8/1/2021,8,2021,7282,2618,9900
9/1/2021,9,2021,7213,3297,10510
10/1/2021,10,2021,6391,2688,9079
11/1/2021,11,2021,6110,2646,8756
1/1/2020,1,2020,3331,1554,4885
2/1/2020,2,2020,3889,1496,5169
3/1/2020,3,2020,3347,1822,5385
4/1/2020,4,2020,1578,786,2364
5/1/2020,5,2020,3334,1250,4584
6/1/2020,6,2020,4959,2401,7360
7/1/2020,7,2020,5717,3324,9041
8/1/2020,8,2020,6204,3412,9616
9/1/2020,9,2020,5235,2204,7439
10/1/2020,10,2020,5248,2548,7796
11/1/2020,11,2020,4699,1936,6635
12/1/2020,12,2020,4648,2462,7110
1/1/2019,1,2019,3093,556,3649
2/1/2019,2,2019,2922,822,3744
3/1/2019,3,2019,4437,1063,5500
4/1/2019,4,2019,4022,1011,5033
5/1/2019,5,2019,5258,1449,6707
6/1/2019,6,2019,4979,1946,6925
7/1/2019,7,2019,6111,2868,8979
8/1/2019,8,2019,5981,2245,8226
9/1/2019,9,2019,5125,1547,6672
10/1/2019,10,2019,5205,1703,6908
11/1/2019,11,2019,4294,1644,5938
12/1/2019,12,2019,4262,1594,5856
1/1/2018,1,2018,3512,952,4464
2/1/2018,2,2018,3405,1050,4455
3/1/2018,3,2018,5157,1722,6879
4/1/2018,4,2018,4994,1834,6828
5/1/2018,5,2018,5539,1670,7209
6/1/2018,6,2018,5252,2461,7713
7/1/2018,7,2018,6203,2288,8491
8/1/2018,8,2018,5828,2387,8215
9/1/2018,9,2018,5272,1846,7118
10/1/2018,10,2018,5029,1344,6373
11/1/2018,11,2018,4293,1329,5622
12/1/2018,12,2018,3950,1292,5242
1/1/2017,1,2017,3141,1023,4164
2/1/2017,2,2017,3700,1301,5001
3/1/2017,3,2017,3604,1651,5256
4/1/2017,4,2017,4199,1260,5459
5/1/2017,5,2017,4823,1575,6398
6/1/2017,6,2017,5397,1976,7373
7/1/2017,7,2017,6153,2106,8259
8/1/2017,8,2017,5941,1990,7931
9/1/2017,9,2017,5921,2058,7979
10/1/2017,10,2017,4990,1735,6725
11/1/2017,11,2017,4520,1366,5886
12/1/2017,12,2017,3828,1454,5282
1/1/2016,1,2016,3749,1520,5300
2/1/2016,2,2016,3859,1512,5374
3/1/2016,3,2016,4147,1686,5833
4/1/2016,4,2016,4847,1956,6884
5/1/2016,5,2016,5753,1973,7690
6/1/2016,6,2016,5919,2161,8084
7/1/2016,7,2016,5684,1911,7604
8/1/2016,8,2016,5498,2034,7440
9/1/2016,9,2016,5027,1697,6759
10/1/2016,10,2016,5739,1542,7366
11/1/2016,11,2016,4916,1409,6329
12/1/2016,12,2016,3354,900,4256
1/1/2015,1,2015,3691,940,4661
2/1/2015,2,2015,3278,636,3914
3/1/2015,3,2015,4425,1673,6098
4/1/2015,4,2015,4520,1524,6044
5/1/2015,5,2015,4847,2061,6908
6/1/2015,6,2015,5332,2653,7985
7/1/2015,7,2015,6230,2770,9000
8/1/2015,8,2015,4368,1892,7419
9/1/2015,9,2015,5410,1668,7078
10/1/2015,10,2015,4778,1214,5992
11/1/2015,11,2015,4305,1465,5770
12/1/2015,12,2015,3569,994,4563
1/1/2014,1,2014,2773,643,3416
2/1/2014,2,2014,3592,1067,4659
3/1/2014,3,2014,4276,1712,5988
4/1/2014,4,2014,4447,1591,6038
5/1/2014,5,2014,5655,2224,7879
6/1/2014,6,2014,5276,1256,6532
7/1/2014,7,2014,6433,2348,8781
8/1/2014,8,2014,5978,2298,8276
9/1/2014,9,2014,5562,1909,7471
10/1/2014,10,2014,5549,1462,7011
11/1/2014,11,2014,3992,1224,5216
12/1/2014,12,2014,3695,1519,5214
